file       , method  , size, depth, energy     , time_s, image_path
cavlc.v    , original,  693,    16,  642.203751,  0.031, 
cavlc.v    , eo      ,  693,   145,  224.058565,  0.049, 
cavlc.v    , do      ,  693,    16,  398.949014,  0.034, 
ctrl.v     , original,  175,    10,  147.349029,  0.015, 
ctrl.v     , eo      ,  175,    62,   44.623839,  0.021, 
ctrl.v     , do      ,  175,    10,   89.923082,  0.014, 
dec.v      , original,  304,     3,  223.400708,  0.016, 
dec.v      , eo      ,  304,    33,   24.750912,  0.028, 
dec.v      , do      ,  304,     3,  223.400708,  0.016, 
int2float.v, original,  260,    16,  253.298270,  0.018, 
int2float.v, eo      ,  260,    85,   88.345388,  0.026, 
int2float.v, do      ,  260,    16,  163.441945,  0.020, 
sin.v      , original, 5416,   225, 3409.470823,  4.236, 
sin.v      , eo      , 5416,   515, 1094.224992,  6.448, 
sin.v      , do      , 5416,   225, 2444.077562,  4.826, 
